Sentence,New
중국에서 한반도로 독가스를 자꾸 보내고 있는데 이러다가 멸망하는 것은 아닐까? 싶다,불안
이제 앞으로 더 이러한 현상들이 심해질걸요?,불안
이슬람계는 절대 절대 받지 말아야..,불안
어떻게 키우면 집고양이가 길고양이랑 새끼를낳아?,중립
골키퍼가 젤 불안!!,불안
이러다가 다른나라에서 명예 회복 해달라고 국제 소송 거는거 아닌가? ..,불안
저렇게 맨손으로 만져도 되나?,불안
사진.. 사냥개도 있네.. 저러다 늑대개로 돌변하면 우짤라꼬..,불안
허걱 배달되는 오븐스파게티 거의다 저 용기던데...,불안
특히 이분야는 선점효과가 너무큼 실패할가능성이 높다,불안
에프엑스도 요즘불안한데....,불안
이성우 때문에 지겠다,불안
아 4차원 롤러코스트 진짜 무섭겠다,불안
대신에 기형아의 가능성이 엄청 높아진다. .,불안
우리의미래가걱정된다,불안
진짜떨린다,불안
순순히 바꿔준다니 몬가 찝찝하기도하네,불안
미국 시민들 불안해서 어떻게 살아...ㄷㄷ,불안
여긴 창원마산. 강풍이 심해서 어떻게될지 걱정이다..,불안
필리핀 가려면 죽을 각오해야 하네요,불안
눈알 파갈라 ㅎㄷㄷㄷㄷㄷ,불안
선발진은 여전히 불안불안하네...,불안
"저 스모그가 우리나라로 넘어오는게 문제인거지,,ㅠ,,",불안
폭발물 소지금지 해야지!,불안
고속충전하면 너무 뜨거워 뭔일 날줄알았다,불안
문제 있는거 아니냐??,불안
 시리아랑 비기는거보고 불안함 ㅠㅠㅠㅠ,불안
생초보라 걱정입니다.,불안
 준비 시간이 줄어들어 졸작이 되진 않을까요?,불안
갑자기 불안하네요,불안
 진심 불날까봐 걱정되서 그런다.,불안
용인 경전철 꼴나는거 아닌지요,불안
 만약에 하나라도 지구가 시간변화에 따라 기후가 변하는 거면 어떡할것인가?,불안
거리에 다니면서 할 확률 100%이상..위험하다..,불안
삼성의 앞날이 걱정이다.,불안
또한번 imf사태가 올것같아,불안
 시리아 수비도 못뚫는데 월드컵에서 잘할수있을까...,불안
 태풍오면 울산처럼된다.,불안
기계가 사람을 지배하는날이 얼마 안남았다.,불안
외계인이 있는데 괜찮을까,불안
 우리와이프가 저리 살아보구 싶다 할까봐요,불안
 누가사는데 만에 하나 구글이 소프트웨어 지원 끊으면 ???,불안
저차 위험하다...,불안
저 도로 범죄 일어나기 좋을듯.,불안
혹시 설날 서빙 할때 손님 많이 올까염???,중립
 나이만 먹어가고 이러다 결혼 못하고 죽는거 아닌지 ㅋㅋ,불안
근데 여자친구가 너무걱정되네요..,불안
제가 못해도 중상위권을 맴도는데성적이 자꾸 떨어져서..,불안
그날에 해도 되나요?,중립
유지할수있을까요,중립
한번 먹일거만 조금남아있는데 어떡하죠,불안
 남자친구는 공기업다니고 28살이고 저는 항상 불안해요,불안
엄마아빠가 이해해주실까요?,불안
저 일할곳이 세븐 본점인데 좀 큰데 많이 어려울까요ㅠㅠ?,불안
수강 신청 하는거 많이 힘들까요?,불안
 이해를 해줘야되는데 너무 불안해요..,불안
 평소 관리만 잘 하면 나아질수 있는건지..,불안
좀 텃세나 끼리끼리노는거있나요?,불안
 제가 언제까지 이일을 하면될까요...,불안
기다리고 노력하면 저만 상처 받겠죠??,불안
내꾸나휴가 다놀고 전화가안와요..,불안
V3엔진이라 불안해서리..,불안
 감기오래가면 안좋은경우인가요???,불안
최저임금도 안주면 어케해야되죠?,불안
 이거 더 안좋아지는 증상인가요,불안
 뭐 대처법은 없을까요?부탁이에요,불안
내사진으로 프사를 해놨는데바람같은거 안피겠죠?? ㅠㅠ,불안
남친이 중간에 뺐을까봐 좀 걱정이 되네요........,불안
막 차별하고 그러나요?,불안
 아직 2주도 안됫는데 벌써부터 증상들이 나타날수 있는건가요?,불안
또 어떻게 다시 시작해야할지막막하기만 합니다ㅠ,불안
열나는건 언제까지 일까요?,불안
내일 또 연락오면 어떻게 하죠??,불안
기록같은게 남나?,불안
다시 돈 뺄수도 없고 이 놈 안오면 어쩌지?,불안
빨간점이난거 이건 여드름흉터 아니죠?!,불안
 정말 불안하고 떨려서 아무것도 못하겠어요,불안
근데 정보가 많진 않으니 선뜻 지원하기가 쉽지않네요,불안
남자친구가 가끔 동영상찍거든요..,불안
제가 하기엔 너무 힘들까요?,불안
4년제 대학 졸업장만으로 취직이 될까요?,불안
너무 부담이 되네요 ;,불안
입사해도 괜찮을까요?,불안
신체검사 할때 혈압약 먹어도 이상없는걸까요?,불안
군대가면 남자들은 맘 변한다고 그러는데 진짜인가요..?,불안
이런문제 어디에 물어봐야되나요?,중립
피부과를 가봐야 할까요?,중립
아가가 자꾸 크면 자연분만 힘들어지나요?,중립
이거 불법 인가요??,중립
남자들 결혼하면 아내 몰래 바람도 피우고 그러나요,불안
벗어날 방법이 있을런지요,불안
곧 헤어질거라는 생각에 연애가 늘 조마조마해요,불안
크게 다친건 아니죠...??,불안
 다시 일시작 하면 잘할수 있을까요?,불안
"어제가 배란일, 가임기덴, 무서워죽겟네요 ..토요일 새벽에 관계는 가졋습니다. 안심해도될까요 ?",불안
하루하루 불안함을 안고사네요.,불안
등에 털이 등 중간부터 나기 시작해서 뒷통수까지 이어져있는데 이거는 어찌 해야되요..?,불안
오늘 손님들 왜케없지 ..............?,불안
중국한테도 지면 진짜 개망신이야...,불안
정말 인간이라구 다 같은 인간은 아닌듯,분노
영상 복구하면 누군가는 그걸 본다는건데 내가 전여친이면 그상황이 더 끔찍할듯.,불안
레알 남자랑도 눈을 대고는 오래동안 못있겠음 ..,불안
 인사도 못하겠음.,불안
그런거 시키지 마세요..,불안
성기 크기가 너무 작아 고민입니다..,불안
저 승마살이 장난 아니에요;;,불안
쟤네들 웃기네. 맘에 드는 결과를 얻을때까지 계속 투표할 기세네.,분노
우리애아빠는그스위치어디다둿을까요??,중립
난해하다......,중립
진짜..어이없네,분노
어이가없네..????,분노
아들은 비싼연봉받고 뭐한거야?,분노
차태현은 다알고 있었던것 같은데 진심은 무슨,분노
이건또 뭔 개소리??,분노
그럼 저 기계는 누가 만들어 줌?,중립
어깨 툭 치는데 사과쪼개지는 소리가 나는거지?,중립
흥민이는 원톱가면......제발......이것만은...,불안
배터리 바꾼게 터지는거면원인이뭐지ㅡㅡ,분노
"물론 시즌말에 가서 떨어질꺼라 예상은 했다만,스크는 나름대로 잘 나가다가 왜 성적이 곤두박질 칠겨?",분노
본인들은 정말 충격적이겠다..ㅠㅜ,불안
마티즈 광고인줄알았네;;,중립
맨유동료중에 가장 저평가됐다고 생각하는 선수는 누구인가?루니 : 박지성이다.,중립
이노인네는 참,분노
뭔소리? 기아 대권도전하려면 아직 깜깜 멀었다 ㅡㅡ,분노
정말떳떳하다면 왜이리 OOO떨까 지발저린모습이네,분노
받아들인 삼성은 뭐지?,중립
대놓고싸우자는건가 ㅡㅡ;;;;,분노
0.056은 약한거 아니냐 지금 이용찬 정찬헌 정성훈 손영민 걸린거보면 싸그리다 취소수준인데,분노
한 골도 못 넣은게 오로지 선수 개개인의 자질 문제인데 또 감독탓 오지네 ㅎㅎ,분노
클라리넷은 알아도 클라라는 첨 들어봄..뭐하는거에요?,중립
서울 대학병원전문의가 ...참 무섭군,불안
참나.. 야메라니... 기가 막힌다..,분노
빛은 항상 켜두어야 하는건가,중립
역대급 거품 실력에비해 원클럽맨하나로 과대포장된 얘보다 스콜스 램파드가 훨씬 커리어가압도적인데,분노
담배보다 안해롭고 중독성도 없단다,중립
우리나라로 치면 허각이 당한것과 같은건가,중립
1쿼터 8:4 프로들 농구 점수 맞냐?,분노
아직도 장관직에 있나?,중립
내가 언제 똥을 주워먹었나 ㅡㅡ,분노
컨택스윙해도 김태균보단 훨씬 넘기는데;;,분노
오성무를 죽이는 건 말도 안되는 억지.,분노
한국의 미네소타 트윈스???,중립
작품가가8만유론데 복원금액이 수백만 유로? 배보다 배꼽이 더크네,분노
기사 내용이 저거밖에 없어? ㅋㅋㅋㅋㅋ,분노
누가 업뎃도 안하는데 누가 살가요?,중립
언제 통계냈냐,중립
깡패가 따로없네ㅋ,분노
경기 안좋은데최고수치면 뭐지,중립
비행기 탑승은?,중립
나만 처음 듣는 상 이름이네. . .,중립
보아 연기했었나????,중립
"진에어는 정시출발율도 높고, 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?",불안
기자님 멕시코어가 아니라 스페인어라고 하는게 맞지 않나요?,중립
보다보다 이런 꼴은 50평생 처음이다,분노
일반인들 신검 하면 어디아프다고 말하면 서류 때오라고 하면서 찍소리도 안하고 1급준다 ㅋㅋㅋㅋ,분노
전술 문제야? 아니면 선수들 문제야?,중립
얘는 또부상당한겨 ㅋ 부상안당한날이없구만,분노
표정관리좀 해라.축제 분위기네.,분노
중국산만 터진거처럼 얘기하네,분노
아니 전라도 욕하는게 왜 지역감정?,분노
별 세개 기업도 부자인데 왜 로켓 못쏴?,중립
2007년에도 음란소설이라고 벌금 받은건가?,중립
마크제이콥스 본 땄어.,중립
이게 진정한 양성평등이 맞는건가?,분노
"진짜 뜬금포, ..",중립
황당한 기획과..,분노
완전 전데...?,중립
올겨울 들어 가장 추운 아침을 맞고 있습니다.?,중립
 왜 저 얘기를 우리 빼놓고 하지?,불안
경영공백 우려한 불구속이라고??,중립
 용도는 아닌데..,중립
 무어라 할 말이 없네....,중립
 국회의원이라고?,중립
불출석했으면서 자백강요?,분노
 비교할사람이랑 비교를 해야지;;;;,분노
"음.. 마광수 작품은 음란패설이 담긴 책이고, 참을 수 없는 존재의 가벼움은 명작이다?",분노
증거는..??????????,분노
스마트폰 화면 왼쪽 위에 있던 올레 이거 왜 KT로 바뀜?,중립
 그러면 즐라탄은?,중립
혹은 생각처럼안될수 있는거 아닌가~,불안
진짜 허탈하네요,불안
 나만 그런가????,중립
엥? 여기 네이버 뉴스맞냐?,중립
그럼 무슨 문제 될게 있나?,중립
 아직 애기라 그런지목소리가 넘 앵앵거려서 수지 목소리가 원래 저랬나 했음,중립
좋은 거야 나쁜거야 ㅋ,중립
정부랑 여가부가 게임 다 죽인거 아닌가?,분노
여러카페에 너무많이올라가서 삭제도안돼요ㅠㅠ,불안
오늘 당장 저희 부모님께 말씀드리러 가네요....,불안
그럼 안되는데...,불안
다 괜찮은거 같은데?4대보험이 없다고 하더라구요;,불안
 왜이런거죠??,불안
마법의기간중에 이런적은 처음이네요....,불안
그렇다고 매달린적도 없는데...,불안
 왜? 갑자기??? 궁금해요,중립
 바로 질초음파를 하더라고여...,중립
어떻게 받아들여야 하나요,중립
ㄷㄷ?ㅠ 일요일아침만 맨날이럼,중립
네일설전날에중국에서해는데지금까지안지워짐,중립
남들은 다 아는 애니라서 그 애니에 대해 농담도하고그러는데.,중립
월급은어덯게줄까요 ..,중립
어떻게 해야 토요일 오전09시에 끝날수있는건가요?,불안
우리나라의 현실이 이렇게 심할줄은 몰랐음..,불안
근데 문제가 저희 휴가증 체계가 바꿔어가지고..,불안
아침에 전화가 왔는데..,중립
너한테 실컷 욕했는데..,불안
저는 받지 않았는데요..,중립
어쩌다가 베스트 되었네요........식구들한테는 말도못하고..........,불안
 지난 주말에 첫키스했는데...빠른건가요?,불안
다른 회사도 이런가요?,불안
아 슈발근데 학교 가야 하나용..?0,불안
어느게 정액제고 그렇다면 나머진 하난 뭐죠?,중립
전여친이 저와 싸우고 상메에 이렇게써놨는데 무슨뜻인가요..,불안
 되는건가요?,중립
이렇게 하는게 정상인가요?,불안
제가이상한거에요?,불안
세월이 사람을 아이돌빠로 만드네요...ㅠ0,중립
ㅎㅎㅎㅎ 나 근데 잠와...ㅎ,중립
어떤식으로해야하지..,불안
 이런말은없는데;;(알바천국 나온거보니 알바개념도 될듯하네요,불안
사진을 도용당햇어요,불안
어떻게 해야할까요.,불안
저는 초등학교 6학년이고 제가 5학년이 제가무섭다는 소문도 듣고 날라리라는 이야기를 오늘들었어요...,불안
이럴땐 또 어떡해야 되는지;,불안
어떠캄 자주 올것만 같음...,중립
그런 사람들의 심리는 도대체 뭔가요?,불안
이게 무슨 말이죠;;?,불안
연애중은 내렸는데 친구는 안끊네여..,중립
 사장님 불러야하나?,중립
혼자막 꽃단장해서 간다거나;,불안
어떻게 마무리하쥐.,중립
 ㅅㅄㅂ? 이거 어케해야함..?,불안
사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..,불안
 체육바지같은게 없는데 어떡해야할까요??,중립
가운데서 애매해서 어찌해야할지 모르겠네요..,불안
일하는데 담배 안핀다고 하니까..,중립
 남친이 오늘따라 성욕구이넘치나봐요.,중립
딸은 유치원에서 선생님께 욕했다네요,중립
아 어떡하죠,불안
 이런 생각이나 할텐데자기를 음란하게 생각할텐데누가 자기 다리 쳐다보는건 싫어하면서 짧은 치마는 왜 입는건지?0,분노
 감정이 앞서서 빨리 잊고싶다는 생각듬...이런거는 뭐죠..?,중립
제목그대로 썸녀라고 생각한 친구에게 어느날 남자친구가 생기면 어떨꺼같아요??,중립
  뭘로 고를지 요즘넘고민이예요ㅎ,중립
이거 어케해야함?,불안
 요번주만해도 여자두명이랑연락햇는데 친구추천에 두명다떠서 당황;,불안
 이랬는데 언니가  안녕히 가세요,중립
안녕하세요~방제이탈인지 몰겠네요^^;;,불안
지금 이순간 너무 심심한게 고민이네요..;;,불안
 근데 그여자는 애가둘이 있네요,중립
 언니들은 그런 상황이 왔을 때  상대방한테 무슨 생각이 들어요??,중립
논산만 그러나 ..,불안
 대체왜 거기서 그러고 가는거에요?,중립
항상 면회만가봤지 외박나와서 데이트하는건 처음이라서 어디를 가얄지 모르겠어요ㅠㅠ,불안
그덕에 좋아하는 분까지도 싫어하는 줄오해받은 상황....,불안
아웅 ㅠ둘중에 뭘로하져..?,불안
"근데,막상하니까,또 잘안되더라구요..",불안
왜이러는거죠,불안
제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..,불안
아니야정말 그런의미일수도있어  또기대하게되고..,불안
다른 손님들도 보고 있는데?,중립
어리지도 많지도 않은 애매한 나이인것같아요,중립
 누가봐도 그 동생이 좋아하는 건데 자기는 아니라고 하더라고요.,중립
이번방학에 토스 해보려고 하는데요인강은 제가 잘 할수있을지 모르겠어요;;,불안
흠 뭐라고 해야 할까여?0,불안
 라고 말씀드리면 될까요..??,불안
만약 제가 먼저 편지를 보내면 걔는 어떻게 생각할까요?,불안
관장할때 아프다는 분들이 있던데 어떡해 하길래 아파요??,중립
 근데 내가 이거 나오냐고 카메라를 들어갈라다가 실수로 게임을 눌림,중립
일주일에 한번씩 전화 오다가 이틀에 한번씩 올때도 있구여..,중립
"다른게 아니라, 제가 이상한건지 해서요.",불안
물어줘야하나영 엉엉0,불안
아직 회사에 아가 있다고 말도 못했는데 ㅜ잉 ㅠㅠ,불안
프로필사진에는 아랍인처럼 안생겼던데..,중립
 주차장 상태상 시야확보가 되질 않아서..,불안
 여태까지 많은 회사를 다녔어도 정상인인과장님을 찾기란 어려웠음;;;;,불안
참 혼란스럽달까요?,불안
그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......,불안
카톡 차단 풀린줄 알고 전화했는데 여전히 차단이네요,중립
오늘 대뜸 전화 오더니만 니 통장이 잘못됬다,중립
웨이트 열심히 하는여자 이상한가요?????????? ???,불안
여태까지의  당신의 선택이  당신을 다시 태어난 것 처럼 힘솟게 했나요...,불안
 이거 외엔 기억이 안나네요.0,중립
자긴 결혼을 못할거라며 부모님 도움 받지않을거라던 사람이..무슨 사정이 있는지는 모르겠지만...,불안
아니근데..신입인거 알고 연락을줬을텐데..,불안
운동하는데 단백질섭취때문에 먹어보려 하는데별루인가요?,불안
처음보는 닉밖에 없음ㅇㅇ어쩌죠??0,불안
11월에 수료식인데 엄마 생신이랑 겹쳤어요ㅠ,불안
군대 가기 전까지는 진짜 아무일 없이 친구사이였다가도군대가고나면 너무 외로워서그 친구가 여자로 보이고좋게?,중립
모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까,불안
다른분들은 ....?,불안
또안없어지니까 또하더라구요;,분노
 망설여지네요,불안
아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다,불안
친구가 정신병같다고 병원가라는데 진심 이게 병원갈정도 인가여,불안
나에대한 내신상를 캐묻지 않나...,불안
애기들이 좋아하는 맛은 아니였어요ㅋㅋㅋ,중립
26인치인가 28인치인가 그렇더군요..;;;,중립
 원래 야간알바들 이런가요?;;,분노
그래서 여기서말한거와달리 엄청 쳐다보기도 했다.,중립
근데 남자친구가 집이 잘사는것도 아니고...,불안
아 제가 너무 변태같네여 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,불안
아무것두아니고..,불안
이렇게 우유부단해서 연애는어떻게할지 모르겠어요 ㅠㅠ,불안
남자친구가 어디든지..?놀러가고싶다구 그래서요;;,중립
감정에 휘둘리다니!1,불안
 이렇게 얘기하는데남자친구는 너네엄마가 뭐뭐하겠다이렇게 얘길 하더라구요,중립
근데 생각해보니정말로면접만 보러 다니는 것만해도...,불안
 그래서 잘 치는 건지...,불안
신인개그맨 이상이 되어야 가능한가보네요.   -_-;;;,중립
삼성한테 3연패로 드림리그 3위인 삼성과 승률차이가 너무많이 나네요...,불안
  방 없으니까 왠지 이질감이 ;;,중립
다른사람 생겼는지 등을 다른사람에게 물어본걸 전남친이 알게되면 기분이 나쁜가요 그게?,불안
글타고 통증은 없는데34살인데 뿌그덕;;;;,불안
20대 초반까진 안그랫는데1,중립
제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..,중립
 어찌할바를 모르겠어요,불안
마이피좀 관리하려고 하는데..글쓰는데에 삭제밖에 없어요..,중립
그러명서 사귀자는데 어캐해야되?,불안
월레이런가여?;;,불안
 상황마다 다른가요?,불안
 고수님들 도와주세요,불안
인수인계도 못받고 일한지 사개월 되었네요.,불안
치약을 바꿨다거나 하지도 않았어요.,중립
1시 반에 입대인데난여기서 뭐하는건지 모르겟네;;,불안
 저말에 의미 두면 안되겠죠...?,불안
 이걸 써먹어서 비대님에게 메롱이라고 하다니..-ㅁ-+++ 쩝..제 닉넴을 또 누가..-ㅁ-;;,중립
다른 뮤지션과 함동공연이라서 형대가 피날레일 줄은 몰랐어요. ^^(댓글로),중립
 (가발쓰는 아나운서가 몸을 틀으라는데 가발을 옆으로 돌렸다는...-.-;) ㅋㅋ,중립
역시월요일은 지하철에사람이많아요.....,중립
 으아아아 시간이 얼마안남았어요!,불안
클스마스공연에 와요??;,중립
힘든 순간들이 매 있겠지만..,불안
모야 인터뷰 읽었는데 대체 저기에서 뭐가 논란거리야???????,중립
기억 못하는게 아니라 기억하기 곤란한 거 아닐까?,불안
블랙리스트 작성도 죄가 되나?,중립
요즘은 감기걸리면 팔꿈치 수술하나봐?,중립
무기인가요????!,중립
건방이 하늘을 찌르더리ㅣ,분노
우리 고유의 누룽지가 그럼 개쓜애기였단 말이더냐..ㅜㅜ,불안
NC도 롯데랑 같은 경남지역인데 왜 롯데랑 동선차이가 이렇게 많이남?,불안
강훈련를 소화 못할 몸을 만들었다던 코끼리 할배가 우승만 10번을 했다,중립
애플 광고하는것도아니고 사과마크좀 가리시지...,중립
당했네 함정취재,중립
거의 매주 제작진 방송에 나오고 멤버들이랑 투닥거려서 진짜 우애 쩔고 친한줄 알았네,중립
뉴스 내용이 중간어 잘린거같은 기분 나만 그런가? 한국이 8위인데 그다음 내용이 나와야하지 않나?,중립
왜 국립경찰뱡원에 장례식장이 마련되었나????,중립
정유라가 못생겼냐 박나래가 못생겼냐?,중립
뭐가 말도 안된다는 거야? ㅋㅋㅋㅋㅋ,분노
사람사는데 맞나..,불안
이런 붉은 기사는 처음본다,중립
나르샤 맞아?...,불안
저거 프레디처럽 막 죽이는거 아닌가 싶다 ㅋㅋㅋㅋ,중립
유연석과 잘 되다가 알고보니 서현진이 원수같은 원장의 딸?,중립
와 원빈이랑 영화 찍던게 엊그제 같은데 언제 결혼했대냐;;;,중립
난또 서울대병원 기사인줄알았네!!!,중립
교체티노 일부로그러는거냐 정답나왓는데 자꾸 오답찍어대,분노
너그들이 프로 맞냐?,분노
"왜 우리동네 마트는 12,000원인가?",중립
갑자기 좃문가들이 왜케 많아졌지? ㅋㅋㅋㅋㅋ,분노
수비력 패스력 부터 안좋았는데 ;;,중립
타고투저 시대에 선발 방어율이 4.53이면 괜찮타고 본다 6이닝3실점하면 방어율이 4.50 나오는데 이정도면 계산서는정도잖아?,중립
박사모는 경찰추정인원이 안나와 신기하게 ㅋ 1000명정도 나왔을꺼같은데 ㅋ,중립
로즌솔은 또 누군데? 마데카솔은 아는데,중립
삼억도 모자른 판에 삼백?????,중립
진짜 일본갈껀아니었잖아,중립
류뚱이 왜 들어감??ㅋㅋㅋ 국뽕 ㄴㄴ ㅋㅋㅋㅋㅋ,중립
전라도 이야기아닌가?,중립
진짜 배우들 맞나...? 헉...,불안
지X과 개소리의 차이냐 머냐?,분노
돈 많은 부촌인데 그사람들 돈 모아 만들라고 하는게..,분노
송파힘찬병원에 갔더니 판독비로 또 3만원 요구해서 황당했음,분노
절 2번 한거야?,중립
흠.......성폭행 당한거 같은데..,불안
일왕은 신라사람 아님??,중립
B1A4도 완전난감할듯...,불안
쌀값 보장하라는데 퇴진하라는 이유는?,중립
손흥민 저 자세 뭔가 설현 입간판같네;;,중립
그래도 재밌어서 신경안쓰이는데..,중립
"많이 늦었구만, 하는 사람이 있을지 의문",중립
명불허전 대륙.....별일이 다일어 난다...,중립
특타해서 9위???,중립
저기는 길라임이라 그라고 여기는 또 머냐? 참 ㅎㅎ,중립
이정재말투로하자면 이건 잘될관상인가? 망할관상인데,중립
받아주는 팀이 있다는게 의외... 이왕가는거 내 생각이 틀렸기를 바람...,중립
일부러 잃어버리기 쉽게 만든거 아냐?,중립
인터넷 신문 보나 종이 신문보나 인터넷 쪽이 환경이라던가 가성비라던가 더 이득인데....,중립
이건 음해가 아닐까요? 말이 안되는 얘기네요,분노
그야말로 생뚱맞다,중립
어이없네 12년만에 영입한게 이원석이가?,분노
 Nll대화록에 포기란 말이 없으니 포기가 아니라며?,중립
 젊은 패기의 우격다짐으로 막 해내려고 하는 느낌?,중립
난 노트가 좋던데...,중립
코발트블루인줄 알았음,중립
이원석이 주전급으로 뭔갈 보여줬느냐?,중립
요구하는 자가 그 이유를 명확히 설명해야 발급해 준다...,중립
난 잘 뽑은거 같은데....아닌가,중립
어제 맞은건 솔까 그냥 플라이볼 같았는데..,중립
어짜피 시키는거만 하는거 아님?,중립
 지금이 유신시대야?,중립
 게임이 아니고 도박임,중립
 삼성 설명 듣고 오우 ok! 이게 뭐냐?,중립
